EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn,Salary_Math_Consistent,Salary_Inconsistency_Severity,Salary_Needs_Review,Salary_Issue_Details,AnnualSalary_outlier_flag,DrivingCommuterDistance_outlier_flag
12,34,8,Yes,29.54,40,Salary,61443.2,15.0,Laboratory,Female,Divorced,1.0,6.0,Mail Check,Yes,True,NONE,False,,False,False
13,38,4,Yes,85.24,40,Salary,177299.2,2.0,Research,Male,Single,6.0,15.0,Mail Check,No,True,NONE,False,,False,False
14,47,16,Yes,85.24,40,Salary,177299.2,2.0,Research,Male,Single,5.0,5.0,Mail Check,Yes,True,NONE,False,,False,False
15,30,2,Yes,30.42,40,Salary,63273.6,36.0,Information Technology,Female,Married,2.0,6.0,Mail Check,Yes,True,NONE,False,,False,False
16,38,1,No,30.42,40,Salary,63273.6,36.0,Information Technology,Female,Married,3.0,5.0,Mail Check,Yes,True,NONE,False,,False,False
17,55,20,Yes,88.5,40,Salary,284080.0,60.0,Information Technology,Prefer Not to Answer,Married,7.0,9.0,Mail Check,Yes,False,MAJOR,True,"Expected $184,080 but shows $284,080 (54.3% difference)",False,False
18,59,16,Yes,88.5,40,Salary,284080.0,60.0,Information Technology,Prefer Not to Answer,Married,5.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $184,080 but shows $284,080 (54.3% difference)",False,False
19,29,1,Yes,24.3,40,Salary,50544.0,2.0,Sales,Female,Married,1.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
20,35,10,No,24.3,40,Salary,50544.0,2.0,Sales,Female,Married,5.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
21,30,6,No,26.28,40,Salary,54662.4,14.0,Research,Female,Married,3.0,15.0,Direct Deposit,Yes,True,NONE,False,,False,False
22,37,7,Yes,26.28,40,Salary,54662.4,14.0,Research,Female,Married,5.0,15.0,Direct Deposit,Yes,True,NONE,False,,False,False
23,44,9,No,87.22,40,Salary,281417.6,75.0,Manufacturing,Female,Divorced,2.0,16.0,Mail Check,Yes,False,MAJOR,True,"Expected $181,418 but shows $281,418 (55.1% difference)",False,False
24,54,15,No,87.22,40,Salary,281417.6,75.0,Manufacturing,Female,Divorced,7.0,24.0,Mail Check,Yes,False,MAJOR,True,"Expected $181,418 but shows $281,418 (55.1% difference)",False,False
25,36,3,Yes,87.2,40,Salary,281376.0,5.0,Research,Female,Married,1.0,10.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $181,376 but shows $281,376 (55.1% difference)",False,False
26,40,8,No,87.2,40,Salary,281376.0,5.0,Research,Female,Married,4.0,15.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $181,376 but shows $281,376 (55.1% difference)",False,False
27,32,6,No,31.02,40,Salary,64521.6,49.0,Research,Female,Married,1.0,18.0,Mail Check,Yes,True,NONE,False,,False,False
28,32,5,No,31.02,40,Salary,64521.6,49.0,Research,Female,Married,2.0,11.0,Mail Check,Yes,True,NONE,False,,False,False
29,41,7,No,89.4,40,Salary,285952.0,28.0,Healthcare,Prefer Not to Answer,Single,6.0,20.0,Mail Check,Yes,False,MAJOR,True,"Expected $185,952 but shows $285,952 (53.8% difference)",False,False
30,44,18,Yes,89.4,40,Salary,285952.0,28.0,Healthcare,Prefer Not to Answer,Single,6.0,25.0,Mail Check,No,False,MAJOR,True,"Expected $185,952 but shows $285,952 (53.8% difference)",False,False
31,30,1,No,24.5,40,Salary,50960.0,49.0,Human Resources,Female,Divorced,3.0,17.0,Mail Check,Yes,True,NONE,False,,False,False
32,34,2,No,24.5,40,Salary,50960.0,49.0,Human Resources,Female,Divorced,3.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
33,38,8,No,88.78,40,Salary,284662.4,0.0,Laboratory,Prefer Not to Answer,Divorced,1.0,21.0,Mail Check,Yes,False,MAJOR,True,"Expected $184,662 but shows $284,662 (54.2% difference)",False,False
34,56,8,No,88.78,40,Salary,284662.4,0.0,Laboratory,Prefer Not to Answer,Divorced,3.0,25.0,Mail Check,Yes,False,MAJOR,True,"Expected $184,662 but shows $284,662 (54.2% difference)",False,False
35,28,4,No,25.14,40,Salary,52291.2,49.0,Laboratory,Female,Married,2.0,12.0,Mail Check,Yes,True,NONE,False,,False,False
36,35,6,Yes,25.14,40,Salary,52291.2,49.0,Laboratory,Female,Married,6.0,7.0,Mail Check,Yes,True,NONE,False,,False,False
37,37,5,Yes,85.44,40,Salary,177715.2,33.0,Sales,Female,Single,6.0,12.0,Mail Check,No,True,NONE,False,,False,False
38,44,10,No,85.44,40,Salary,177715.2,33.0,Sales,Female,Single,7.0,19.0,Mail Check,Yes,True,NONE,False,,False,False
39,36,7,No,29.21,40,Salary,60756.8,79.0,Laboratory,Female,Divorced,2.0,15.0,Direct Deposit,Yes,True,NONE,False,,False,False
40,37,9,No,29.21,40,Salary,60756.8,79.0,Laboratory,Female,Divorced,4.0,22.0,Direct Deposit,Yes,True,NONE,False,,False,False
41,30,1,No,23.86,40,Salary,49628.8,50.0,Marketing,Female,Single,1.0,12.0,Mail Check,Yes,True,NONE,False,,False,False
42,30,8,Yes,23.86,40,Salary,49628.8,50.0,Marketing,Female,Single,2.0,21.0,Mail Check,Yes,True,NONE,False,,False,False
43,21,1,Yes,22.24,40,Salary,5259.2,13.0,Research,Female,Single,3.0,12.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $46,259 but shows $5,259 (88.6% difference)",False,False
44,23,1,Yes,22.24,40,Salary,5259.2,13.0,Research,Female,Married,2.0,11.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $46,259 but shows $5,259 (88.6% difference)",False,False
45,36,8,No,84.7,40,Salary,176176.0,75.0,Manufacturing,Prefer Not to Answer,Divorced,6.0,9.0,Mail Check,Yes,True,NONE,False,,False,False
46,45,20,No,84.7,40,Salary,176176.0,75.0,Manufacturing,Prefer Not to Answer,Divorced,1.0,9.0,Mail Check,Yes,True,NONE,False,,False,False
47,36,1,Yes,26.48,40,Salary,55078.4,57.0,Sales,Female,Divorced,6.0,24.0,Direct Deposit,Yes,True,NONE,False,,False,False
48,38,3,Yes,26.48,40,Salary,55078.4,57.0,Sales,Female,Divorced,1.0,10.0,Direct Deposit,Yes,True,NONE,False,,False,False
49,36,2,Yes,28.3,40,Salary,58864.0,82.0,Sales,Female,Married,2.0,24.0,Mail Check,Yes,True,NONE,False,,False,False
50,40,8,No,28.3,40,Salary,58864.0,82.0,Sales,Female,Married,5.0,14.0,Mail Check,Yes,True,NONE,False,,False,False
51,27,3,Yes,22.72,40,Salary,47257.6,4.0,Information Technology,Male,Single,2.0,5.0,Mail Check,Yes,True,NONE,False,,False,False
52,32,3,Yes,22.72,40,Salary,47257.6,4.0,Information Technology,Male,Single,3.0,14.0,Mail Check,Yes,True,NONE,False,,False,False
53,44,18,No,87.0,40,Salary,280960.0,42.0,Manufacturing,Prefer Not to Answer,Divorced,7.0,13.0,Mail Check,Yes,False,MAJOR,True,"Expected $180,960 but shows $280,960 (55.3% difference)",False,False
54,47,9,No,87.0,40,Salary,280960.0,42.0,Manufacturing,Prefer Not to Answer,Divorced,1.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $180,960 but shows $280,960 (55.3% difference)",False,False
57,31,9,No,26.33,40,Salary,54766.4,60.0,Healthcare,Male,Single,1.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
58,33,5,Yes,26.33,40,Salary,54766.4,60.0,Healthcare,Male,Single,3.0,17.0,Mail Check,Yes,True,NONE,False,,False,False
59,46,16,Yes,89.35,40,Salary,285848.0,64.0,Healthcare,Prefer Not to Answer,Single,2.0,15.0,Mail Check,No,False,MAJOR,True,"Expected $185,848 but shows $285,848 (53.8% difference)",False,False
60,48,17,Yes,89.35,40,Salary,285848.0,64.0,Healthcare,Prefer Not to Answer,Single,1.0,6.0,Mail Check,Yes,False,MAJOR,True,"Expected $185,848 but shows $285,848 (53.8% difference)",False,False
61,37,8,Yes,28.66,40,Salary,59612.8,33.0,Marketing,Female,Single,6.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
62,39,4,Yes,28.66,40,Salary,59612.8,33.0,Marketing,Female,Single,3.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
63,33,5,No,26.14,40,Salary,54371.2,36.0,Manufacturing,Female,Divorced,1.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
64,39,1,No,26.14,40,Salary,54371.2,36.0,Manufacturing,Female,Divorced,2.0,11.0,Mail Check,Yes,True,NONE,False,,False,False
67,30,8,No,24.74,40,Salary,51459.2,77.0,Sales,Male,Divorced,1.0,21.0,Mail Check,Yes,True,NONE,False,,False,False
68,32,4,No,24.74,40,Salary,51459.2,77.0,Sales,Male,Divorced,2.0,8.0,Mail Check,Yes,True,NONE,False,,False,False
69,40,4,Yes,85.33,40,Salary,177486.4,1.0,Sales,Prefer Not to Answer,Single,9.0,19.0,Mail Check,No,True,NONE,False,,False,False
70,45,16,Yes,85.33,40,Salary,177486.4,1.0,Sales,Prefer Not to Answer,Single,5.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
71,48,7,No,85.22,40,Salary,177257.6,33.0,Laboratory,Prefer Not to Answer,Single,8.0,6.0,Mail Check,No,True,NONE,False,,False,False
72,57,5,No,85.22,40,Salary,177257.6,33.0,Laboratory,Prefer Not to Answer,Single,5.0,12.0,Mail Check,Yes,True,NONE,False,,False,False
73,28,6,No,22.8,40,Salary,47424.0,24.0,Research,Female,Divorced,2.0,19.0,Mail Check,Yes,True,NONE,False,,False,False
74,28,1,Yes,22.8,40,Salary,47424.0,24.0,Research,Female,Divorced,3.0,18.0,Mail Check,Yes,True,NONE,False,,False,False
75,34,6,No,28.2,40,Salary,58656.0,12.0,Sales,Male,Single,4.0,17.0,Direct Deposit,Yes,True,NONE,False,,False,False
76,40,4,No,28.2,40,Salary,58656.0,12.0,Sales,Male,Single,5.0,20.0,Direct Deposit,Yes,True,NONE,False,,False,False
77,30,7,No,28.1,40,Salary,58448.0,2.0,Sales,Male,Single,1.0,12.0,Mail Check,Yes,True,NONE,False,,False,False
78,40,3,Yes,28.1,40,Salary,58448.0,2.0,Sales,Male,Single,1.0,22.0,Mail Check,Yes,True,NONE,False,,False,False
79,34,9,No,26.59,40,Salary,55307.2,67.0,Information Technology,Female,Divorced,2.0,20.0,Mail Check,Yes,True,NONE,False,,False,False
80,37,3,No,26.59,40,Salary,55307.2,67.0,Information Technology,Female,Divorced,3.0,6.0,Mail Check,Yes,True,NONE,False,,False,False
81,52,6,No,89.31,40,Salary,285764.8,41.0,Research,Male,Married,7.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $185,765 but shows $285,765 (53.8% difference)",False,False
82,53,9,Yes,89.31,40,Salary,285764.8,41.0,Research,Male,Married,6.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $185,765 but shows $285,765 (53.8% difference)",False,False
83,50,10,No,88.27,40,Salary,283601.6,60.0,Research,Male,Married,3.0,12.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $183,602 but shows $283,602 (54.5% difference)",False,False
84,54,17,No,88.27,40,Salary,283601.6,60.0,Research,Male,Married,6.0,16.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $183,602 but shows $283,602 (54.5% difference)",False,False
85,53,18,Yes,31.39,40,Salary,65291.2,62.0,Information Technology,Female,Divorced,2.0,25.0,Mail Check,Yes,True,NONE,False,,False,False
86,57,14,Yes,31.39,40,Salary,65291.2,62.0,Information Technology,Female,Divorced,9.0,18.0,Mail Check,Yes,True,NONE,False,,False,False
87,39,7,Yes,31.39,40,Salary,65291.2,47.0,Information Technology,Female,Divorced,4.0,6.0,Mail Check,Yes,True,NONE,False,,False,False
88,55,10,Yes,31.39,40,Salary,65291.2,47.0,Information Technology,Female,Divorced,1.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
89,31,9,No,28.73,40,Salary,59758.4,28.0,Laboratory,Female,Married,1.0,25.0,Mail Check,Yes,True,NONE,False,,False,False
90,40,1,No,28.73,40,Salary,59758.4,28.0,Laboratory,Female,Married,6.0,10.0,Mail Check,Yes,True,NONE,False,,False,False
91,36,9,No,28.73,40,Salary,59758.4,49.0,Laboratory,Female,Married,3.0,11.0,Mail Check,Yes,True,NONE,False,,False,False
92,39,4,No,28.73,40,Salary,59758.4,49.0,Laboratory,Female,Married,6.0,18.0,Mail Check,Yes,True,NONE,False,,False,False
93,44,8,Yes,48.45,40,Salary,100776.0,76.0,Marketing,Female,Married,5.0,12.0,Mail Check,Yes,True,NONE,False,,False,False
94,59,6,Yes,48.45,40,Salary,100776.0,76.0,Marketing,Female,Married,7.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
95,48,13,Yes,85.4,40,Salary,177632.0,31.0,Research,Male,Single,7.0,5.0,Mail Check,No,True,NONE,False,,False,False
96,54,17,No,85.4,40,Salary,177632.0,31.0,Research,Male,Single,2.0,25.0,Mail Check,Yes,True,NONE,False,,False,False
97,44,6,No,71.9,40,Salary,149552.0,32.0,Marketing,Male,Married,6.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
98,58,19,No,71.9,40,Salary,149552.0,32.0,Marketing,Male,Married,5.0,23.0,Mail Check,Yes,True,NONE,False,,False,False
99,48,17,Yes,71.33,40,Salary,148075.2,50.0,Sales,Prefer Not to Answer,Married,8.0,8.0,Mail Check,Yes,True,NONE,False,,False,False
100,57,17,No,71.33,40,Salary,148075.2,50.0,Sales,Prefer Not to Answer,Married,9.0,22.0,Mail Check,Yes,True,NONE,False,,False,False
101,49,7,No,65.62,40,Salary,136489.6,15.0,Research,Male,Divorced,6.0,17.0,Direct Deposit,Yes,True,NONE,False,,False,False
102,52,17,Yes,65.62,40,Salary,136489.6,15.0,Research,Male,Divorced,1.0,6.0,Direct Deposit,Yes,True,NONE,False,,False,False
103,37,10,Yes,56.11,40,Salary,116708.8,33.0,Healthcare,Male,Divorced,1.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
104,49,7,Yes,56.11,40,Salary,116708.8,33.0,Healthcare,Male,Divorced,1.0,22.0,Mail Check,Yes,True,NONE,False,,False,False
105,44,14,No,80.12,40,Salary,166649.6,56.0,Human Resources,Male,Married,1.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
106,59,13,Yes,80.12,40,Salary,166649.6,56.0,Human Resources,Male,Married,9.0,6.0,Mail Check,Yes,True,NONE,False,,False,False
107,34,4,No,25.71,40,Salary,53476.8,32.0,Marketing,Male,Single,3.0,17.0,Direct Deposit,Yes,True,NONE,False,,False,False
108,34,1,No,25.71,40,Salary,53476.8,32.0,Marketing,Male,Single,5.0,5.0,Direct Deposit,Yes,True,NONE,False,,False,False
109,41,6,Yes,97.05,40,Salary,202864.0,22.0,Research,Female,Divorced,3.0,23.0,Mail Check,Yes,True,NONE,False,,False,False
110,42,3,No,97.05,40,Salary,202864.0,22.0,Research,Female,Divorced,5.0,6.0,Mail Check,Yes,True,NONE,False,,False,False
111,33,4,Yes,25.17,40,Salary,52353.6,51.0,Information Technology,Male,Single,6.0,14.0,Direct Deposit,Yes,True,NONE,False,,False,False
112,35,7,Yes,25.17,40,Salary,52353.6,51.0,Information Technology,Male,Single,6.0,25.0,Direct Deposit,Yes,True,NONE,False,,False,False
113,39,8,Yes,81.64,40,Salary,169811.2,60.0,Marketing,Male,Divorced,2.0,17.0,Mail Check,Yes,True,NONE,False,,False,False
114,58,7,No,81.64,40,Salary,169811.2,60.0,Marketing,Male,Divorced,2.0,12.0,Mail Check,Yes,True,NONE,False,,False,False
115,44,12,Yes,40.53,40,Salary,84302.4,58.0,Sales,Female,Married,9.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
116,60,10,No,40.53,40,Salary,84302.4,58.0,Sales,Female,Married,9.0,8.0,Mail Check,Yes,True,NONE,False,,False,False
117,31,3,No,23.42,40,Salary,48713.6,49.0,Research,Female,Divorced,2.0,6.0,Direct Deposit,No,True,NONE,False,,False,False
118,35,4,Yes,23.42,40,Salary,48713.6,49.0,Research,Female,Divorced,4.0,15.0,Direct Deposit,Yes,True,NONE,False,,False,False
119,37,3,No,65.52,40,Salary,136281.6,36.0,Healthcare,Female,Married,2.0,11.0,Mail Check,Yes,True,NONE,False,,False,False
120,48,19,Yes,65.52,40,Salary,136281.6,36.0,Healthcare,Female,Married,7.0,23.0,Mail Check,Yes,True,NONE,False,,False,False
121,33,3,Yes,28.09,40,Salary,58427.2,34.0,Sales,Female,Single,1.0,13.0,Mail Check,Yes,True,NONE,False,,False,False
122,34,1,Yes,28.09,40,Salary,58427.2,34.0,Sales,Female,Single,4.0,22.0,Mail Check,Yes,True,NONE,False,,False,False
123,35,6,Yes,26.84,40,Salary,55827.2,60.0,Sales,Male,Divorced,1.0,21.0,Mail Check,Yes,True,NONE,False,,False,False
124,38,3,No,26.84,40,Salary,55827.2,60.0,Sales,Male,Divorced,2.0,25.0,Mail Check,Yes,True,NONE,False,,False,False
125,36,10,Yes,34.87,40,Salary,72529.6,1.0,Research,Female,Single,1.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
126,48,13,Yes,34.87,40,Salary,72529.6,1.0,Research,Female,Single,4.0,13.0,Mail Check,Yes,True,NONE,False,,False,False
127,38,5,Yes,83.05,40,Salary,172744.0,37.0,Marketing,Female,Single,1.0,5.0,Mail Check,Yes,True,NONE,False,,False,False
128,42,8,No,83.05,40,Salary,172744.0,37.0,Marketing,Female,Single,6.0,12.0,Mail Check,No,True,NONE,False,,False,False
129,40,10,No,59.45,40,Salary,123656.0,42.0,Research,Female,Married,6.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
130,45,16,Yes,59.45,40,Salary,123656.0,42.0,Research,Female,Married,3.0,14.0,Mail Check,Yes,True,NONE,False,,False,False
131,56,16,No,35.54,40,Salary,73923.2,16.0,Healthcare,Male,Married,7.0,8.0,Mail Check,Yes,True,NONE,False,,False,False
132,56,18,No,35.54,40,Salary,73923.2,16.0,Healthcare,Male,Married,3.0,24.0,Mail Check,Yes,True,NONE,False,,False,False
133,40,1,Yes,43.0,40,Salary,89440.0,26.0,Sales,Female,Divorced,2.0,15.0,Direct Deposit,Yes,True,NONE,False,,False,False
134,44,10,Yes,43.0,40,Salary,89440.0,26.0,Sales,Female,Divorced,6.0,18.0,Direct Deposit,Yes,True,NONE,False,,False,False
135,49,18,Yes,62.53,40,Salary,130062.4,77.0,Healthcare,Male,Single,5.0,15.0,Direct Deposit,Yes,True,NONE,False,,False,False
136,58,20,Yes,62.53,40,Salary,130062.4,77.0,Healthcare,Male,Single,2.0,10.0,Direct Deposit,No,True,NONE,False,,False,False
137,34,1,No,26.06,40,Salary,54204.8,35.0,Laboratory,Female,Married,5.0,8.0,Direct Deposit,Yes,True,NONE,False,,False,False
138,39,9,No,26.06,40,Salary,54204.8,35.0,Laboratory,Female,Married,5.0,16.0,Direct Deposit,No,True,NONE,False,,False,False
139,37,7,No,60.01,40,Salary,124820.8,34.0,Healthcare,Female,Married,5.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
140,60,11,No,60.01,40,Salary,124820.8,34.0,Healthcare,Female,Married,2.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
141,39,9,No,50.74,40,Salary,105539.2,74.0,Manufacturing,Female,Married,3.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
142,54,11,Yes,50.74,40,Salary,105539.2,74.0,Manufacturing,Female,Married,9.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
143,39,8,No,53.28,40,Salary,110614.4,62.0,Manufacturing,Male,Divorced,4.0,7.0,Mail Check,Yes,True,NONE,False,,False,False
144,54,10,No,53.28,40,Salary,110614.4,62.0,Manufacturing,Male,Divorced,1.0,24.0,Mail Check,Yes,True,NONE,False,,False,False
145,30,6,Yes,24.64,40,Salary,51251.2,49.0,Human Resources,Female,Divorced,2.0,22.0,Direct Deposit,Yes,True,NONE,False,,False,False
146,30,1,No,24.64,40,Salary,51251.2,49.0,Human Resources,Female,Divorced,3.0,15.0,Direct Deposit,Yes,True,NONE,False,,False,False
147,39,8,No,86.33,40,Salary,179566.4,49.0,Research,Female,Married,3.0,12.0,Mail Check,Yes,True,NONE,False,,False,False
148,47,12,Yes,86.33,40,Salary,179566.4,49.0,Research,Female,Married,4.0,8.0,Mail Check,Yes,True,NONE,False,,False,False
149,33,7,Yes,31.1,40,Salary,64688.0,84.0,Human Resources,Female,Single,1.0,21.0,Mail Check,Yes,True,NONE,False,,False,False
150,37,7,No,31.1,40,Salary,64688.0,84.0,Human Resources,Female,Single,6.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
151,34,5,No,23.37,40,Salary,48609.6,60.0,Information Technology,Male,Divorced,2.0,18.0,Mail Check,No,True,NONE,False,,False,False
152,35,9,Yes,23.37,40,Salary,48609.6,60.0,Information Technology,Male,Divorced,5.0,25.0,Mail Check,Yes,True,NONE,False,,False,False
153,50,7,No,60.42,40,Salary,125673.6,44.0,Information Technology,Male,Divorced,1.0,12.0,Direct Deposit,Yes,True,NONE,False,,False,False
154,55,19,No,60.42,40,Salary,125673.6,44.0,Information Technology,Male,Divorced,8.0,24.0,Direct Deposit,Yes,True,NONE,False,,False,False
155,36,2,Yes,28.04,40,Salary,58323.2,61.0,Manufacturing,Male,Married,2.0,8.0,Mail Check,Yes,True,NONE,False,,False,False
156,38,7,Yes,28.04,40,Salary,58323.2,61.0,Manufacturing,Male,Married,6.0,10.0,Mail Check,Yes,True,NONE,False,,False,False
157,43,3,No,59.17,40,Salary,123073.6,87.0,Sales,Female,Married,6.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
158,55,14,No,59.17,40,Salary,123073.6,87.0,Sales,Female,Married,8.0,21.0,Mail Check,Yes,True,NONE,False,,False,False
159,31,3,No,25.41,40,Salary,52852.8,75.0,Marketing,Male,Single,2.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
160,32,5,Yes,25.41,40,Salary,52852.8,75.0,Marketing,Male,Single,1.0,15.0,Mail Check,Yes,True,NONE,False,,False,False
161,30,2,Yes,25.57,40,Salary,53285.6,79.0,Healthcare,Male,Married,3.0,23.0,Mail Check,Yes,True,NONE,False,,False,False
162,33,9,No,25.57,40,Salary,53285.6,79.0,Healthcare,Male,Married,4.0,15.0,Mail Check,No,True,NONE,False,,False,False
163,34,5,Yes,28.09,40,Salary,58427.2,15.0,Sales,Male,Single,5.0,23.0,Mail Check,Yes,True,NONE,False,,False,False
164,36,5,No,28.09,40,Salary,58427.2,15.0,Sales,Male,Single,2.0,12.0,Mail Check,Yes,True,NONE,False,,False,False
165,48,11,Yes,33.29,40,Salary,69243.2,46.0,Research,Male,Single,3.0,17.0,Mail Check,Yes,True,NONE,False,,False,False
166,61,11,No,33.29,40,Salary,69243.2,46.0,Research,Male,Single,8.0,21.0,Mail Check,Yes,True,NONE,False,,False,False
167,41,3,No,91.85,40,Salary,331048.0,49.0,Sales,Female,Married,6.0,25.0,Mail Check,Yes,False,MAJOR,True,"Expected $191,048 but shows $331,048 (73.3% difference)",True,False
168,58,16,No,91.85,40,Salary,331048.0,49.0,Sales,Female,Married,2.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $191,048 but shows $331,048 (73.3% difference)",True,False
169,57,15,Yes,45.29,40,Salary,94203.2,33.0,Healthcare,Male,Single,1.0,5.0,Mail Check,No,True,NONE,False,,False,False
170,58,10,No,45.29,40,Salary,94203.2,33.0,Healthcare,Male,Single,4.0,24.0,Mail Check,Yes,True,NONE,False,,False,False
171,41,8,No,96.17,40,Salary,200033.6,52.0,Laboratory,Male,Single,1.0,6.0,Direct Deposit,No,True,NONE,False,,False,False
172,55,15,No,96.17,40,Salary,200033.6,52.0,Laboratory,Male,Single,4.0,21.0,Direct Deposit,Yes,True,NONE,False,,False,False
173,48,5,No,76.51,40,Salary,159140.8,73.0,Information Technology,Female,Single,8.0,22.0,Mail Check,Yes,True,NONE,False,,False,False
174,61,10,No,76.51,40,Salary,159140.8,73.0,Information Technology,Female,Single,1.0,15.0,Mail Check,No,True,NONE,False,,False,False
175,37,4,No,57.15,40,Salary,128872.0,42.0,Information Technology,Female,Divorced,6.0,23.0,Mail Check,Yes,True,NONE,False,,False,False
176,42,3,Yes,57.15,40,Salary,128872.0,42.0,Information Technology,Female,Divorced,3.0,10.0,Mail Check,Yes,True,NONE,False,,False,False
177,55,16,No,64.59,40,Salary,134347.2,50.0,Manufacturing,Male,Divorced,8.0,5.0,Mail Check,Yes,True,NONE,False,,False,False
178,56,17,Yes,64.59,40,Salary,134347.2,50.0,Manufacturing,Male,Divorced,5.0,20.0,Mail Check,Yes,True,NONE,False,,False,False
179,26,3,Yes,22.38,40,Salary,46550.4,53.0,Laboratory,Male,Single,2.0,7.0,Direct Deposit,Yes,True,NONE,False,,False,False
180,26,3,No,22.38,40,Salary,46550.4,53.0,Laboratory,Male,Single,2.0,15.0,Direct Deposit,Yes,True,NONE,False,,False,False
181,38,6,No,44.26,40,Salary,92060.8,85.0,Human Resources,Female,Married,1.0,18.0,Mail Check,Yes,True,NONE,False,,False,False
182,60,14,No,44.26,40,Salary,92060.8,85.0,Human Resources,Female,Married,4.0,22.0,Mail Check,Yes,True,NONE,False,,False,False
183,43,3,No,71.87,40,Salary,149489.6,66.0,Marketing,Female,Married,8.0,19.0,Direct Deposit,Yes,True,NONE,False,,False,False
184,55,8,Yes,71.87,40,Salary,149489.6,66.0,Marketing,Female,Married,1.0,7.0,Direct Deposit,Yes,True,NONE,False,,False,False
