EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn,Salary_Math_Consistent,Salary_Inconsistency_Severity,Salary_Needs_Review,Salary_Issue_Details,AnnualSalary_outlier_flag,DrivingCommuterDistance_outlier_flag
84,54,17,No,88.27,40,Salary,283601.6,60.0,Research,Male,Married,6.0,16.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $183,602 but shows $283,602 (54.5% difference)",False,False
167,41,3,No,91.85,40,Salary,331048.0,49.0,Sales,Female,Married,6.0,25.0,Mail Check,Yes,False,MAJOR,True,"Expected $191,048 but shows $331,048 (73.3% difference)",True,False
168,58,16,No,91.85,40,Salary,331048.0,49.0,Sales,Female,Married,2.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $191,048 but shows $331,048 (73.3% difference)",True,False
195,50,15,Yes,86.72,40,Salary,280377.6,2.0,Healthcare,Female,Divorced,1.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $180,378 but shows $280,378 (55.4% difference)",False,False
196,58,15,Yes,86.72,40,Salary,280377.6,2.0,Healthcare,Female,Divorced,4.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $180,378 but shows $280,378 (55.4% difference)",False,False
204,41,2,No,94.94,40,Salary,337475.2,15.0,Human Resources,Female,Single,6.0,16.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $197,475 but shows $337,475 (70.9% difference)",True,False
207,49,7,No,95.6,40,Salary,338848.0,49.0,Research,Male,Married,2.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $198,848 but shows $338,848 (70.4% difference)",True,False
209,38,10,Yes,88.71,40,Salary,284516.8,250.0,Sales,Male,Single,1.0,12.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $184,517 but shows $284,517 (54.2% difference)",False,True
210,61,9,Yes,90.68,40,Salary,288614.4,51.0,Human Resources,Male,Married,4.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $188,614 but shows $288,614 (53.0% difference)",False,False
223,54,11,No,91.54,40,Salary,330403.2,52.0,Sales,Male,Single,1.0,9.0,Mail Check,No,False,MAJOR,True,"Expected $190,403 but shows $330,403 (73.5% difference)",True,False
232,48,9,No,92.37,40,Salary,332129.6,250.0,Laboratory,Male,Divorced,2.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $192,130 but shows $332,130 (72.9% difference)",True,True
233,49,8,No,95.12,40,Salary,337849.6,55.0,Sales,Female,Married,9.0,19.0,Mail Check,Yes,False,MAJOR,True,"Expected $197,850 but shows $337,850 (70.8% difference)",True,False
240,40,10,No,87.99,40,Salary,283033.2,17.0,Manufacturing,Female,Married,1.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $183,019 but shows $283,033 (54.6% difference)",False,False
249,39,4,Yes,96.08,40,Salary,339846.4,41.0,Research,Female,Single,3.0,19.0,Mail Check,No,False,MAJOR,True,"Expected $199,846 but shows $339,846 (70.1% difference)",True,False
257,56,14,Yes,33.25,40,Salary,40040.0,7.0,Marketing,Female,Divorced,1.0,12.0,Mail Check,No,False,MODERATE,True,"Expected $69,160 but shows $40,040 (42.1% difference)",False,False
268,37,8,No,28.25,40,Salary,37960.0,65.0,Marketing,Male,Single,1.0,15.0,Mail Check,Yes,False,MODERATE,True,"Expected $58,760 but shows $37,960 (35.4% difference)",False,False
276,44,14,No,33.29,40,Salary,40123.2,66.0,Sales,Male,Divorced,1.0,18.0,Direct Deposit,No,False,MODERATE,True,"Expected $69,243 but shows $40,123 (42.1% difference)",False,False
286,61,12,No,33.48,40,Salary,40528.4,49.0,Sales,Female,Divorced,6.0,22.0,Mail Check,Yes,False,MODERATE,True,"Expected $69,638 but shows $40,528 (41.8% difference)",False,False
293,41,10,Yes,87.69,40,Salary,282395.2,49.0,Sales,Female,Single,1.0,14.0,Mail Check,Yes,False,MAJOR,True,"Expected $182,395 but shows $282,395 (54.8% difference)",False,False
297,53,19,Yes,90.36,40,Salary,287948.8,49.0,Manufacturing,Male,Married,2.0,15.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $187,949 but shows $287,949 (53.2% difference)",False,False
298,48,12,Yes,91.8,40,Salary,330944.0,1.0,Research,Female,Married,2.0,22.0,Mail Check,Yes,False,MAJOR,True,"Expected $190,944 but shows $330,944 (73.3% difference)",True,False
299,57,11,Yes,91.22,40,Salary,289737.6,80.0,Sales,Female,Single,7.0,9.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $189,738 but shows $289,738 (52.7% difference)",True,False
310,54,8,No,89.66,40,Salary,286492.8,64.0,Sales,Male,Divorced,1.0,25.0,Mail Check,Yes,False,MAJOR,True,"Expected $186,493 but shows $286,493 (53.6% difference)",False,False
313,57,5,No,57.51,40,Salary,133620.8,77.0,Manufacturing,Male,Married,4.0,8.0,Mail Check,Yes,False,MINOR,True,"Expected $119,621 but shows $133,621 (11.7% difference)",False,False
323,40,5,No,28.83,40,Salary,39166.4,80.0,Sales,Female,Divorced,2.0,15.0,Mail Check,Yes,False,MODERATE,True,"Expected $59,966 but shows $39,166 (34.7% difference)",False,False
333,38,4,Yes,33.37,40,Salary,40289.6,49.0,Research,Female,Single,5.0,15.0,Mail Check,Yes,False,MODERATE,True,"Expected $69,410 but shows $40,290 (42.0% difference)",False,False
347,47,19,Yes,87.08,40,Salary,281126.4,250.0,Sales,Female,Divorced,3.0,14.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $181,126 but shows $281,126 (55.2% difference)",False,True
364,51,11,No,33.14,40,Salary,39811.2,79.0,Research,Female,Single,3.0,15.0,Mail Check,Yes,False,MODERATE,True,"Expected $68,931 but shows $39,811 (42.2% difference)",False,False
367,38,7,No,90.69,40,Salary,288635.2,65.0,Sales,Female,Single,2.0,9.0,Direct Deposit,No,False,MAJOR,True,"Expected $188,635 but shows $288,635 (53.0% difference)",False,False
391,50,14,Yes,94.23,40,Salary,335998.4,78.0,Research,Female,Married,1.0,24.0,Mail Check,No,False,MAJOR,True,"Expected $195,998 but shows $335,998 (71.4% difference)",True,False
405,51,19,Yes,33.33,40,Salary,39915.2,87.0,Information Technology,Male,Divorced,2.0,15.0,Mail Check,No,False,MODERATE,True,"Expected $69,326 but shows $39,915 (42.4% difference)",False,False
409,22,1,Yes,21.46,40,Salary,3636.8,65.0,Research,Female,Single,3.0,20.0,Mail Check,Yes,False,MAJOR,True,"Expected $44,637 but shows $3,637 (91.9% difference)",False,False
422,53,16,No,92.07,40,Salary,331505.6,49.0,Healthcare,Female,Divorced,1.0,12.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $191,506 but shows $331,506 (73.1% difference)",True,False
435,55,16,No,93.4,40,Salary,334272.0,250.0,Healthcare,Female,Divorced,7.0,6.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $194,272 but shows $334,272 (72.1% difference)",True,True
439,40,1,Yes,94.47,40,Salary,336497.6,77.0,Sales,Male,Single,2.0,14.0,Mail Check,Yes,False,MAJOR,True,"Expected $196,498 but shows $336,498 (71.2% difference)",True,False
441,33,6,Yes,28.68,40,Salary,38854.4,89.0,Information Technology,Female,Divorced,2.0,18.0,Mail Check,Yes,False,MODERATE,True,"Expected $59,654 but shows $38,854 (34.9% difference)",False,False
452,39,8,No,92.67,40,Salary,332753.6,79.0,Laboratory,Male,Married,5.0,20.0,Mail Check,Yes,False,MAJOR,True,"Expected $192,754 but shows $332,754 (72.6% difference)",True,False
464,58,15,Yes,92.29,40,Salary,333363.2,20.0,Laboratory,Female,Single,4.0,9.0,Mail Check,Yes,False,MAJOR,True,"Expected $191,963 but shows $333,363 (73.7% difference)",True,False
467,43,2,No,90.16,40,Salary,287532.8,73.0,Manufacturing,Female,Married,2.0,20.0,Mail Check,No,False,MAJOR,True,"Expected $187,533 but shows $287,533 (53.3% difference)",False,False
473,60,15,No,93.08,40,Salary,333606.4,46.0,Sales,Male,Divorced,5.0,7.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $193,606 but shows $333,606 (72.3% difference)",True,False
474,53,9,Yes,94.06,40,Salary,335644.8,16.0,Human Resources,Female,Married,6.0,7.0,Mail Check,Yes,False,MAJOR,True,"Expected $195,645 but shows $335,645 (71.6% difference)",True,False
480,40,4,No,28.51,40,Salary,38500.8,250.0,Manufacturing,Female,Married,1.0,11.0,Mail Check,Yes,False,MODERATE,True,"Expected $59,301 but shows $38,501 (35.1% difference)",False,True
492,40,10,Yes,89.45,40,Salary,286056.0,14.0,Sales,Female,Single,7.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $186,056 but shows $286,056 (53.7% difference)",False,False
494,57,17,Yes,57.39,40,Salary,133371.2,28.0,Manufacturing,Female,Divorced,3.0,13.0,Mail Check,Yes,False,MINOR,True,"Expected $119,371 but shows $133,371 (11.7% difference)",False,False
504,40,4,No,28.54,40,Salary,38563.2,12.0,Research,Male,Single,1.0,14.0,Mail Check,Yes,False,MODERATE,True,"Expected $59,363 but shows $38,563 (35.0% difference)",False,False
505,26,3,Yes,21.6,40,Salary,3928.0,79.0,Research,Female,Single,2.0,12.0,Mail Check,Yes,False,MAJOR,True,"Expected $44,928 but shows $3,928 (91.3% difference)",False,False
522,39,1,No,87.93,40,Salary,282894.4,68.0,Laboratory,Female,Divorced,3.0,14.0,Mail Check,No,False,MAJOR,True,"Expected $182,894 but shows $282,894 (54.7% difference)",False,False
525,50,10,Yes,93.17,40,Salary,333793.6,65.0,Marketing,Female,Single,2.0,22.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $193,794 but shows $333,794 (72.2% difference)",True,False
530,38,3,Yes,33.8,40,Salary,41284.0,33.0,Information Technology,Female,Married,2.0,10.0,Mail Check,No,False,MODERATE,True,"Expected $70,304 but shows $41,284 (41.3% difference)",False,False
536,41,3,No,91.85,40,Salary,331048.0,31.0,Healthcare,Male,Divorced,2.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $191,048 but shows $331,048 (73.3% difference)",True,False
553,43,5,Yes,89.08,40,Salary,285286.4,60.0,Sales,Female,Single,8.0,5.0,Mail Check,Yes,False,MAJOR,True,"Expected $185,286 but shows $285,286 (54.0% difference)",False,False
561,42,10,Yes,94.67,40,Salary,336913.6,20.0,Information Technology,Female,Married,5.0,11.0,Mail Check,Yes,False,MAJOR,True,"Expected $196,914 but shows $336,914 (71.1% difference)",True,False
581,55,7,No,94.62,40,Salary,336809.6,17.0,Sales,Female,Single,1.0,15.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $196,810 but shows $336,810 (71.1% difference)",True,False
613,60,13,Yes,33.54,40,Salary,40643.2,44.0,Sales,Male,Married,2.0,19.0,Mail Check,Yes,False,MODERATE,True,"Expected $69,763 but shows $40,643 (41.7% difference)",False,False
614,59,6,No,90.01,40,Salary,287220.8,16.0,Marketing,Female,Divorced,5.0,10.0,Mail Check,Yes,False,MAJOR,True,"Expected $187,221 but shows $287,221 (53.4% difference)",False,False
627,60,12,No,93.5,40,Salary,334480.0,89.0,Information Technology,Female,Single,1.0,11.0,Direct Deposit,No,False,MAJOR,True,"Expected $194,480 but shows $334,480 (72.0% difference)",True,False
632,51,9,Yes,33.73,40,Salary,41038.4,15.0,Research,Female,Single,5.0,16.0,Mail Check,Yes,False,MODERATE,True,"Expected $70,158 but shows $41,038 (41.5% difference)",False,False
635,48,12,Yes,94.57,40,Salary,336705.6,49.0,Laboratory,Male,Single,6.0,14.0,Mail Check,No,False,MAJOR,True,"Expected $196,706 but shows $336,706 (71.2% difference)",True,False
642,47,13,Yes,91.43,40,Salary,330174.4,87.0,Information Technology,Male,Single,6.0,15.0,Direct Deposit,No,False,MAJOR,True,"Expected $190,174 but shows $330,174 (73.6% difference)",True,False
649,52,20,Yes,87.4,40,Salary,281792.0,23.0,Sales,Female,Single,8.0,15.0,Direct Deposit,No,False,MAJOR,True,"Expected $181,792 but shows $281,792 (55.0% difference)",False,False
661,55,6,No,95.6,40,Salary,338848.0,125.0,Human Resources,Female,Married,8.0,15.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $198,848 but shows $338,848 (70.4% difference)",True,False
662,33,3,Yes,28.33,40,Salary,37835.2,125.0,Manufacturing,Female,Married,5.0,12.0,Mail Check,No,False,MODERATE,True,"Expected $58,926 but shows $37,835 (35.8% difference)",False,False
663,30,2,Yes,28.09,40,Salary,37627.2,49.0,Marketing,Male,Married,1.0,21.0,Mail Check,No,False,MODERATE,True,"Expected $58,427 but shows $37,627 (35.6% difference)",False,False
665,56,13,No,88.14,40,Salary,283331.2,50.0,Research,Female,Single,1.0,25.0,Mail Check,Yes,False,MAJOR,True,"Expected $183,331 but shows $283,331 (54.5% difference)",False,False
666,57,8,No,93.33,40,Salary,334126.4,49.0,Research,Male,Married,4.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $194,126 but shows $334,126 (72.1% difference)",True,False
667,39,10,No,93.71,40,Salary,334916.8,68.0,Information Technology,Female,Married,3.0,15.0,Direct Deposit,No,False,MAJOR,True,"Expected $194,917 but shows $334,917 (71.8% difference)",True,False
668,45,11,No,92.49,40,Salary,332379.2,45.0,Sales,Female,Single,6.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $192,379 but shows $332,379 (72.8% difference)",True,False
670,48,7,Yes,94.63,40,Salary,336830.4,78.0,Sales,Female,Married,6.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $196,830 but shows $336,830 (71.1% difference)",True,False
672,55,18,No,92.65,40,Salary,332712.0,250.0,Research,Male,Married,1.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $192,712 but shows $332,712 (72.6% difference)",True,True
674,44,10,Yes,94.9,40,Salary,337392.0,32.0,Healthcare,Female,Divorced,6.0,8.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $197,392 but shows $337,392 (70.9% difference)",True,False
675,33,5,Yes,28.89,40,Salary,39291.2,6.0,Marketing,Female,Divorced,1.0,15.0,Mail Check,No,False,MODERATE,True,"Expected $60,091 but shows $39,291 (34.6% difference)",False,False
683,26,3,No,21.96,40,Salary,4676.8,44.0,Research,Female,Single,1.0,20.0,Mail Check,Yes,False,MAJOR,True,"Expected $45,677 but shows $4,677 (89.8% difference)",False,False
684,48,12,No,94.65,40,Salary,336872.0,50.0,Sales,Female,Divorced,3.0,20.0,Mail Check,Yes,False,MAJOR,True,"Expected $196,872 but shows $336,872 (71.1% difference)",True,False
686,40,5,No,28.53,40,Salary,38542.4,40.0,Marketing,Male,Married,6.0,22.0,Mail Check,No,False,MODERATE,True,"Expected $59,342 but shows $38,542 (35.1% difference)",False,False
687,41,7,No,91.98,40,Salary,331328.4,30.0,Information Technology,Female,Married,4.0,15.0,Mail Check,No,False,MAJOR,True,"Expected $191,318 but shows $331,328 (73.2% difference)",True,False
695,44,20,No,89.2,40,Salary,285536.0,49.0,Sales,Female,Married,1.0,6.0,Mail Check,Yes,False,MAJOR,True,"Expected $185,536 but shows $285,536 (53.9% difference)",False,False
697,50,16,Yes,86.59,40,Salary,280107.2,63.0,Laboratory,Male,Single,3.0,23.0,Mail Check,No,False,MAJOR,True,"Expected $180,107 but shows $280,107 (55.5% difference)",False,False
706,30,1,No,28.05,40,Salary,37544.0,57.0,Marketing,Female,Single,1.0,17.0,Mail Check,Yes,False,MODERATE,True,"Expected $58,344 but shows $37,544 (35.7% difference)",False,False
714,27,2,Yes,21.47,40,Salary,3657.6,49.0,Research,Female,Divorced,2.0,19.0,Mail Check,No,False,MAJOR,True,"Expected $44,658 but shows $3,658 (91.8% difference)",False,False
716,43,5,No,90.49,40,Salary,288233.2,75.0,Marketing,Female,Single,7.0,25.0,Mail Check,No,False,MAJOR,True,"Expected $188,219 but shows $288,233 (53.1% difference)",False,False
717,53,7,No,88.57,40,Salary,284225.6,49.0,Research,Male,Single,1.0,25.0,Mail Check,No,False,MAJOR,True,"Expected $184,226 but shows $284,226 (54.3% difference)",False,False
719,47,5,No,95.33,40,Salary,338286.4,64.0,Manufacturing,Prefer Not to Answer,Single,5.0,24.0,Mail Check,No,False,MAJOR,True,"Expected $198,286 but shows $338,286 (70.6% difference)",True,False
727,46,17,Yes,87.64,40,Salary,282291.2,49.0,Information Technology,Female,Divorced,9.0,23.0,Mail Check,Yes,False,MAJOR,True,"Expected $182,291 but shows $282,291 (54.9% difference)",False,False
729,51,18,No,89.76,40,Salary,286700.8,84.0,Marketing,Female,Single,1.0,6.0,Mail Check,Yes,False,MAJOR,True,"Expected $186,701 but shows $286,701 (53.6% difference)",False,False
752,45,6,Yes,87.62,40,Salary,282249.6,82.0,Sales,Female,Divorced,7.0,25.0,Mail Check,Yes,False,MAJOR,True,"Expected $182,250 but shows $282,250 (54.9% difference)",False,False
755,46,7,Yes,95.24,40,Salary,338099.2,82.0,Sales,Female,Divorced,6.0,8.0,Mail Check,Yes,False,MAJOR,True,"Expected $198,099 but shows $338,099 (70.7% difference)",True,False
768,53,11,Yes,88.7,40,Salary,284496.0,57.0,Information Technology,Prefer Not to Answer,Married,7.0,24.0,Mail Check,Yes,False,MAJOR,True,"Expected $184,496 but shows $284,496 (54.2% difference)",False,False
772,46,17,Yes,33.86,40,Salary,41308.8,32.0,Information Technology,Male,Single,6.0,14.0,Mail Check,No,False,MODERATE,True,"Expected $70,429 but shows $41,309 (41.3% difference)",False,False
799,51,8,No,92.73,40,Salary,332878.4,80.0,Sales,Female,Single,5.0,18.0,Direct Deposit,No,False,MAJOR,True,"Expected $192,878 but shows $332,878 (72.6% difference)",True,False
805,40,10,Yes,90.95,40,Salary,289176.0,40.0,Manufacturing,Female,Married,8.0,9.0,Mail Check,Yes,False,MAJOR,True,"Expected $189,176 but shows $289,176 (52.9% difference)",False,False
817,59,20,No,94.32,40,Salary,336285.6,24.0,Information Technology,Female,Married,9.0,10.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $196,186 but shows $336,286 (71.4% difference)",True,False
828,47,15,No,90.67,40,Salary,288593.6,63.0,Information Technology,Prefer Not to Answer,Married,7.0,5.0,Mail Check,Yes,False,MAJOR,True,"Expected $188,594 but shows $288,594 (53.0% difference)",False,False
836,61,15,No,92.8,40,Salary,333024.0,55.0,Research,Female,Single,2.0,9.0,Mail Check,Yes,False,MAJOR,True,"Expected $193,024 but shows $333,024 (72.5% difference)",True,False
839,44,15,No,89.12,40,Salary,285369.6,49.0,Laboratory,Female,Single,8.0,7.0,Mail Check,Yes,False,MAJOR,True,"Expected $185,370 but shows $285,370 (53.9% difference)",False,False
842,38,9,No,92.86,40,Salary,333148.8,38.0,Research,Male,Divorced,3.0,15.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $193,149 but shows $333,149 (72.5% difference)",True,False
846,58,13,Yes,88.07,40,Salary,283285.6,55.0,Research,Female,Married,8.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $183,186 but shows $283,286 (54.6% difference)",False,False
847,37,5,Yes,86.72,40,Salary,280377.6,74.0,Sales,Female,Divorced,1.0,21.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $180,378 but shows $280,378 (55.4% difference)",False,False
862,36,8,Yes,28.17,40,Salary,37793.6,51.0,Manufacturing,Female,Divorced,1.0,21.0,Mail Check,Yes,False,MODERATE,True,"Expected $58,594 but shows $37,794 (35.5% difference)",False,False
897,57,14,Yes,89.0,40,Salary,285120.0,54.0,Research,Female,Divorced,5.0,8.0,Mail Check,No,False,MAJOR,True,"Expected $185,120 but shows $285,120 (54.0% difference)",False,False
916,23,1,Yes,21.12,40,Salary,2929.6,31.0,Research,Female,Single,2.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $43,930 but shows $2,930 (93.3% difference)",False,False
922,37,8,Yes,92.69,40,Salary,332795.2,77.0,Marketing,Female,Married,1.0,24.0,Mail Check,Yes,False,MAJOR,True,"Expected $192,795 but shows $332,795 (72.6% difference)",True,False
924,39,6,Yes,89.63,40,Salary,286430.4,49.0,Laboratory,Female,Single,6.0,13.0,Mail Check,No,False,MAJOR,True,"Expected $186,430 but shows $286,430 (53.6% difference)",False,False
928,57,13,No,90.43,40,Salary,288094.4,23.0,Manufacturing,Female,Married,9.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $188,094 but shows $288,094 (53.2% difference)",False,False
937,54,18,No,90.17,40,Salary,287553.6,250.0,Human Resources,Female,Married,8.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $187,554 but shows $287,554 (53.3% difference)",False,True
944,43,2,No,89.24,40,Salary,285633.2,49.0,Manufacturing,Female,Single,4.0,5.0,Mail Check,Yes,False,MAJOR,True,"Expected $185,619 but shows $285,633 (53.9% difference)",False,False
957,60,15,No,92.82,40,Salary,333065.6,77.0,Sales,Male,Divorced,8.0,6.0,Mail Check,Yes,False,MAJOR,True,"Expected $193,066 but shows $333,066 (72.5% difference)",True,False
962,59,5,No,33.05,40,Salary,39624.0,32.0,Healthcare,Female,Married,7.0,23.0,Mail Check,No,False,MODERATE,True,"Expected $68,744 but shows $39,624 (42.4% difference)",False,False
970,46,8,Yes,88.56,40,Salary,284204.8,4.0,Information Technology,Female,Divorced,2.0,25.0,Mail Check,Yes,False,MAJOR,True,"Expected $184,205 but shows $284,205 (54.3% difference)",False,False
975,56,13,No,86.83,40,Salary,280606.4,15.0,Manufacturing,Female,Divorced,1.0,10.0,Mail Check,Yes,False,MAJOR,True,"Expected $180,606 but shows $280,606 (55.4% difference)",False,False
977,48,7,Yes,93.62,40,Salary,334729.6,67.0,Research,Female,Married,2.0,17.0,Mail Check,Yes,False,MAJOR,True,"Expected $194,730 but shows $334,730 (71.9% difference)",True,False
980,53,18,Yes,89.83,40,Salary,286846.4,81.0,Laboratory,Female,Single,5.0,15.0,Mail Check,No,False,MAJOR,True,"Expected $186,846 but shows $286,846 (53.5% difference)",False,False
981,54,13,No,89.04,40,Salary,285203.2,250.0,Manufacturing,Male,Single,5.0,9.0,Direct Deposit,No,False,MAJOR,True,"Expected $185,203 but shows $285,203 (54.0% difference)",False,True
995,61,18,Yes,89.74,40,Salary,286659.2,36.0,Sales,Male,Single,4.0,6.0,Direct Deposit,Yes,False,MAJOR,True,"Expected $186,659 but shows $286,659 (53.6% difference)",False,False
997,46,10,Yes,87.8,40,Salary,282624.0,82.0,Human Resources,Male,Divorced,2.0,15.0,Mail Check,No,False,MAJOR,True,"Expected $182,624 but shows $282,624 (54.8% difference)",False,False
1013,44,14,Yes,93.13,40,Salary,333710.4,49.0,Information Technology,Female,Single,3.0,15.0,Mail Check,Yes,False,MAJOR,True,"Expected $193,710 but shows $333,710 (72.3% difference)",True,False
1022,46,9,No,33.15,40,Salary,39832.0,34.0,Marketing,Female,Divorced,1.0,15.0,Mail Check,No,False,MODERATE,True,"Expected $68,952 but shows $39,832 (42.2% difference)",False,False
1023,38,8,Yes,57.39,40,Salary,133371.2,49.0,Marketing,Male,Married,1.0,17.0,Mail Check,Yes,False,MINOR,True,"Expected $119,371 but shows $133,371 (11.7% difference)",False,False
